image_name,filter_type,filter_name,kernel_size,padding,runtime,file_name
NZjers1,combined,midpoint,5,constant,-1,./results/edge/NZjers1/midpoint/combined/5-constant-bTTeZITx.png
NZjers1,magnitude,midpoint,7,constant,-1,./results/edge/NZjers1/midpoint/magnitude/7-constant-uzYDRXYd.png
NZjers1,direction,midpoint,7,constant,-1,./results/edge/NZjers1/midpoint/direction/7-constant-QEHliUea.png
NZjers1,combined,midpoint,7,constant,-1,./results/edge/NZjers1/midpoint/combined/7-constant-UjBFEjOY.png
NZjers1,magnitude,midpoint,9,constant,-1,./results/edge/NZjers1/midpoint/magnitude/9-constant-oOfMxTcI.png
NZjers1,direction,midpoint,9,constant,-1,./results/edge/NZjers1/midpoint/direction/9-constant-AhldoUAi.png
NZjers1,combined,midpoint,9,constant,-1,./results/edge/NZjers1/midpoint/combined/9-constant-COgOofdX.png
NZjers1,magnitude,midpoint,11,constant,-1,./results/edge/NZjers1/midpoint/magnitude/11-constant-cvgvCnmd.png
NZjers1,direction,midpoint,11,constant,-1,./results/edge/NZjers1/midpoint/direction/11-constant-EHhfBOIm.png
NZjers1,combined,midpoint,11,constant,-1,./results/edge/NZjers1/midpoint/combined/11-constant-zxRHKvkg.png
NZjers1,magnitude,midpoint,13,constant,-1,./results/edge/NZjers1/midpoint/magnitude/13-constant-pgjZKBSr.png
NZjers1,direction,midpoint,13,constant,-1,./results/edge/NZjers1/midpoint/direction/13-constant-lHlfDXPQ.png
NZjers1,combined,midpoint,13,constant,-1,./results/edge/NZjers1/midpoint/combined/13-constant-CpusRFsF.png
NZjers1,magnitude,midpoint,15,constant,-1,./results/edge/NZjers1/midpoint/magnitude/15-constant-QihMegKa.png
NZjers1,direction,midpoint,15,constant,-1,./results/edge/NZjers1/midpoint/direction/15-constant-RAcWrwuu.png
NZjers1,combined,midpoint,15,constant,-1,./results/edge/NZjers1/midpoint/combined/15-constant-MCCAMNpf.png
NZjers1,magnitude,alpha_trimmed_mean,3,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/magnitude/3-constant-msAlxBAo.png
NZjers1,direction,alpha_trimmed_mean,3,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/direction/3-constant-iXtIUkWT.png
NZjers1,combined,alpha_trimmed_mean,3,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/combined/3-constant-kGMrbghj.png
NZjers1,magnitude,alpha_trimmed_mean,5,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/magnitude/5-constant-uHPIVvtM.png
NZjers1,direction,alpha_trimmed_mean,5,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/direction/5-constant-xhyujRAd.png
NZjers1,combined,alpha_trimmed_mean,5,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/combined/5-constant-ZSjOregk.png
NZjers1,magnitude,alpha_trimmed_mean,7,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/magnitude/7-constant-MCdsNLeA.png
NZjers1,direction,alpha_trimmed_mean,7,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/direction/7-constant-DQnPwXdb.png
NZjers1,combined,alpha_trimmed_mean,7,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/combined/7-constant-VlnQmsIK.png
NZjers1,magnitude,alpha_trimmed_mean,9,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/magnitude/9-constant-NGdsnQFS.png
NZjers1,direction,alpha_trimmed_mean,9,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/direction/9-constant-kBvrlNnn.png
NZjers1,combined,alpha_trimmed_mean,9,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/combined/9-constant-nHesgMUH.png
NZjers1,magnitude,alpha_trimmed_mean,11,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/magnitude/11-constant-XKszitLn.png
NZjers1,direction,alpha_trimmed_mean,11,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/direction/11-constant-KaoSVbty.png
NZjers1,combined,alpha_trimmed_mean,11,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/combined/11-constant-WTTjwkUn.png
NZjers1,magnitude,alpha_trimmed_mean,13,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/magnitude/13-constant-GdZZPTlW.png
NZjers1,direction,alpha_trimmed_mean,13,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/direction/13-constant-lyWXSMLA.png
NZjers1,combined,alpha_trimmed_mean,13,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/combined/13-constant-JtCciwvt.png
NZjers1,magnitude,alpha_trimmed_mean,15,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/magnitude/15-constant-AjVgJShx.png
NZjers1,direction,alpha_trimmed_mean,15,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/direction/15-constant-wsdPAQaJ.png
NZjers1,combined,alpha_trimmed_mean,15,constant,-1,./results/edge/NZjers1/alpha_trimmed_mean/combined/15-constant-UpZeQCen.png
foetus,magnitude,gaussian,3,constant,-1,./results/edge/foetus/gaussian/magnitude/3-constant-BdNOZhOr.png
foetus,direction,gaussian,3,constant,-1,./results/edge/foetus/gaussian/direction/3-constant-AIoLhelj.png
foetus,combined,gaussian,3,constant,-1,./results/edge/foetus/gaussian/combined/3-constant-TMAqMpDM.png
foetus,magnitude,gaussian,5,constant,-1,./results/edge/foetus/gaussian/magnitude/5-constant-kcSVcQAS.png
foetus,direction,gaussian,5,constant,-1,./results/edge/foetus/gaussian/direction/5-constant-NAXTzBzI.png
foetus,combined,gaussian,5,constant,-1,./results/edge/foetus/gaussian/combined/5-constant-eBBkLBfX.png
foetus,magnitude,gaussian,7,constant,-1,./results/edge/foetus/gaussian/magnitude/7-constant-lFnirUkO.png
foetus,direction,gaussian,7,constant,-1,./results/edge/foetus/gaussian/direction/7-constant-rJPXPWjX.png
foetus,combined,gaussian,7,constant,-1,./results/edge/foetus/gaussian/combined/7-constant-PbLaZAij.png
foetus,magnitude,gaussian,9,constant,-1,./results/edge/foetus/gaussian/magnitude/9-constant-fGVJrhGw.png
foetus,direction,gaussian,9,constant,-1,./results/edge/foetus/gaussian/direction/9-constant-JgRSolhr.png
foetus,combined,gaussian,9,constant,-1,./results/edge/foetus/gaussian/combined/9-constant-wPjTfTVy.png
foetus,magnitude,gaussian,11,constant,-1,./results/edge/foetus/gaussian/magnitude/11-constant-OWIOQNhf.png
foetus,direction,gaussian,11,constant,-1,./results/edge/foetus/gaussian/direction/11-constant-KnPPTqnV.png
foetus,combined,gaussian,11,constant,-1,./results/edge/foetus/gaussian/combined/11-constant-jYrduYvf.png
foetus,magnitude,gaussian,13,constant,-1,./results/edge/foetus/gaussian/magnitude/13-constant-HMlHENSd.png
foetus,direction,gaussian,13,constant,-1,./results/edge/foetus/gaussian/direction/13-constant-ZEMTDtNd.png
